country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","25-06-2025 22:00:00",23.168606,79.932247,OZONE,26,42,34
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","25-06-2025 22:00:00",23.218135,79.957770,PM2.5,NA,NA,NA
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","25-06-2025 22:00:00",23.218135,79.957770,NH3,2,2,2
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","25-06-2025 22:00:00",19.0243902,73.0406721,NO2,3,5,4
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","25-06-2025 22:00:00",19.0243902,73.0406721,NH3,4,4,4
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","25-06-2025 22:00:00",19.0243902,73.0406721,SO2,8,13,10
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","25-06-2025 22:00:00",19.309073,73.057223,PM2.5,37,52,43
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","25-06-2025 22:00:00",19.309073,73.057223,NO2,25,57,41
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","25-06-2025 22:00:00",19.786089,72.757971,NO2,4,9,7
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","25-06-2025 22:00:00",19.962900,79.298714,NO2,1,25,20
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","25-06-2025 22:00:00",23.838586,78.759431,CO,4,42,25
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","25-06-2025 22:00:00",23.8640158,78.80289321,CO,78,82,80
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","25-06-2025 22:00:00",24.108970,82.645580,NH3,4,6,5
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","25-06-2025 22:00:00",19.10122,74.73339,CO,5,23,13
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","25-06-2025 22:00:00",20.719516,77.000253,PM2.5,24,54,33
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","25-06-2025 22:00:00",23.218135,79.957770,OZONE,9,31,31
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","25-06-2025 22:00:00",23.50016,80.23284,PM10,23,95,56
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","25-06-2025 22:00:00",23.108440,77.511428,NH3,2,4,3
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","25-06-2025 22:00:00",22.624758,75.675238,PM2.5,28,70,48
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","25-06-2025 22:00:00",23.838586,78.759431,PM2.5,2,180,34
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","25-06-2025 22:00:00",20.9402359,77.7895248,PM2.5,16,42,29
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","25-06-2025 22:00:00",20.9402359,77.7895248,SO2,3,11,6
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","25-06-2025 22:00:00",20.9402359,77.7895248,CO,8,23,17
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","25-06-2025 22:00:00",20.939198,77.765701,NH3,1,2,2
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","25-06-2025 22:00:00",20.939198,77.765701,SO2,2,3,3
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","25-06-2025 22:00:00",23.210494,77.425409,CO,2,43,17
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","25-06-2025 22:00:00",23.210494,77.425409,OZONE,6,45,24
